##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	4-6_S251_concat.fastq.trim
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1456931
Sequences flagged as poor quality	0
Sequence length	20-95
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.61600515055277	37.0	37.0	37.0	37.0	37.0
2	36.37168472631854	37.0	37.0	37.0	37.0	37.0
3	36.58423974779863	37.0	37.0	37.0	37.0	37.0
4	36.59269313371738	37.0	37.0	37.0	37.0	37.0
5	36.540241782212064	37.0	37.0	37.0	37.0	37.0
6	36.53656144319807	37.0	37.0	37.0	37.0	37.0
7	36.51990176610972	37.0	37.0	37.0	37.0	37.0
8	36.53016992568625	37.0	37.0	37.0	37.0	37.0
9	36.523523076933635	37.0	37.0	37.0	37.0	37.0
10-11	36.51645822623034	37.0	37.0	37.0	37.0	37.0
12-13	36.512636494109884	37.0	37.0	37.0	37.0	37.0
14-15	36.50391267671564	37.0	37.0	37.0	37.0	37.0
16-17	36.498042117299995	37.0	37.0	37.0	37.0	37.0
18-19	36.48587338727778	37.0	37.0	37.0	37.0	37.0
20-21	36.494298090999706	37.0	37.0	37.0	37.0	37.0
22-23	36.491061502540184	37.0	37.0	37.0	37.0	37.0
24-25	36.4984388096494	37.0	37.0	37.0	37.0	37.0
26-27	36.5013396986786	37.0	37.0	37.0	37.0	37.0
28-29	36.4948251057393	37.0	37.0	37.0	37.0	37.0
30-31	36.495613953480145	37.0	37.0	37.0	37.0	37.0
32-33	36.48858290020637	37.0	37.0	37.0	37.0	37.0
34-35	36.48436895935319	37.0	37.0	37.0	37.0	37.0
36-37	36.473936558987816	37.0	37.0	37.0	37.0	37.0
38-39	36.46668057963696	37.0	37.0	37.0	37.0	37.0
40-41	36.456361612888145	37.0	37.0	37.0	37.0	37.0
42-43	36.44450075636579	37.0	37.0	37.0	37.0	37.0
44-45	36.43748581192038	37.0	37.0	37.0	37.0	37.0
46-47	36.426613414246674	37.0	37.0	37.0	37.0	37.0
48-49	36.411639858832565	37.0	37.0	37.0	37.0	37.0
50-51	36.40385286394812	37.0	37.0	37.0	37.0	37.0
52-53	36.38642624282137	37.0	37.0	37.0	37.0	37.0
54-55	36.374657962200146	37.0	37.0	37.0	37.0	37.0
56-57	36.37147216673292	37.0	37.0	37.0	37.0	37.0
58-59	36.35662254177414	37.0	37.0	37.0	37.0	37.0
60-61	36.33850628284903	37.0	37.0	37.0	37.0	37.0
62-63	36.34256550538837	37.0	37.0	37.0	37.0	37.0
64-65	36.34217531116805	37.0	37.0	37.0	37.0	37.0
66-67	36.334664450670886	37.0	37.0	37.0	37.0	37.0
68-69	36.33988827295052	37.0	37.0	37.0	37.0	37.0
70-71	36.34009427068304	37.0	37.0	37.0	37.0	37.0
72-73	36.34357938400804	37.0	37.0	37.0	37.0	37.0
74-75	36.31287180030352	37.0	37.0	37.0	37.0	37.0
76-77	36.28867803977381	37.0	37.0	37.0	37.0	37.0
78-79	36.25882904645504	37.0	37.0	37.0	37.0	37.0
80-81	36.221013079593874	37.0	37.0	37.0	37.0	37.0
82-83	36.18822718481018	37.0	37.0	37.0	37.0	37.0
84-85	36.18063769170301	37.0	37.0	37.0	37.0	37.0
86-87	36.14206778391454	37.0	37.0	37.0	37.0	37.0
88-89	36.124114396915076	37.0	37.0	37.0	37.0	37.0
90-91	36.08627839732044	37.0	37.0	37.0	37.0	37.0
92-93	36.03939261087943	37.0	37.0	37.0	37.0	37.0
94-95	35.81483054365978	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.19994220650176686
1101	2	-0.3866011603095387
1101	3	-0.3378587998969351
1101	4	-0.1490584824166774
1101	5	-0.2851260229326016
1101	6	-0.2796247360245019
1101	7	-0.4063352874047581
1101	8	-0.21869982971990254
1101	9	-0.22650708263803665
1101	10-11	-0.43295682170970906
1101	12-13	-0.42479456262393
1101	14-15	-0.505393553662266
1101	16-17	-0.4957861879057006
1101	18-19	-0.3756935889312416
1101	20-21	-0.6149211349074619
1101	22-23	-0.3419543364828783
1101	24-25	-0.3968816954639891
1101	26-27	0.09155852163040379
1101	28-29	-0.1476010958002547
1101	30-31	-0.14919270073018964
1101	32-33	-0.45314718631588136
1101	34-35	-0.1300504340784343
1101	36-37	-0.2842179895608723
1101	38-39	-0.07622467164459579
1101	40-41	-0.07261300798320036
1101	42-43	-0.44967492813178467
1101	44-45	-0.29992359528367274
1101	46-47	-0.22592993536525086
1101	48-49	-0.2912203527902264
1101	50-51	-0.4231184751123962
1101	52-53	-0.348022289033608
1101	54-55	0.019411131496696044
1101	56-57	0.06821937626002494
1101	58-59	0.01075286246604179
1101	60-61	-0.2532298097701471
1101	62-63	0.15667823507786238
1101	64-65	-0.2196206345207372
1101	66-67	-0.1587515113208724
1101	68-69	0.0696747218028051
1101	70-71	-0.06874637102307446
1101	72-73	-0.1156720396018116
1101	74-75	-0.1891939683156849
1101	76-77	-0.337027647902012
1101	78-79	-0.21034178496929457
1101	80-81	-0.14383815238301167
1101	82-83	-0.1418750963071247
1101	84-85	-0.14944907578755107
1101	86-87	-0.42956746980883054
1101	88-89	-0.3401248877969394
1101	90-91	-0.11232481882755962
1101	92-93	-0.5732303356135517
1101	94-95	-0.4634427589830352
1102	1	-0.2192689989780945
1102	2	-0.5283024317680756
1102	3	-0.3155897893150694
1102	4	-0.11869448022169138
1102	5	-0.5447028261114397
1102	6	-0.47868369324947935
1102	7	-0.41783951587033386
1102	8	-0.1662380571502453
1102	9	-0.2826972215371981
1102	10-11	-0.5903421394186736
1102	12-13	-0.3044360478992161
1102	14-15	-0.16744322110599796
1102	16-17	-0.07309530372246087
1102	18-19	-0.16633686833687733
1102	20-21	-0.08343006657125329
1102	22-23	-0.19675702833755082
1102	24-25	-0.07944406137728066
1102	26-27	-0.18702589440611916
1102	28-29	-0.2786954222664164
1102	30-31	-0.20036623541175658
1102	32-33	0.09749579094110317
1102	34-35	-0.18541485311554595
1102	36-37	-0.6208537229070217
1102	38-39	-0.06798409634246383
1102	40-41	-0.1526847463117349
1102	42-43	-0.3543875692490204
1102	44-45	-0.14195915664045344
1102	46-47	-0.2756093918561078
1102	48-49	-0.18624502929411335
1102	50-51	-0.2579915009104141
1102	52-53	-0.263682083539571
1102	54-55	-0.31066916980769577
1102	56-57	-0.2936006997315772
1102	58-59	-0.49063143177303203
1102	60-61	-0.4124031222834432
1102	62-63	-0.7059111734917352
1102	64-65	-0.015371757447560697
1102	66-67	-0.35186414903379415
1102	68-69	-0.029746480198703296
1102	70-71	0.021388512758228728
1102	72-73	-0.14579754338699757
1102	74-75	-0.05846176183906948
1102	76-77	-0.20102781068993636
1102	78-79	-0.40972471737524074
1102	80-81	-0.4578121708757621
1102	82-83	-0.23725916975365635
1102	84-85	-0.4146177807052922
1102	86-87	-0.1891942136127227
1102	88-89	-0.05539000554887252
1102	90-91	-0.672729121171642
1102	92-93	0.04918153408747372
1102	94-95	0.4766590679112426
1103	1	-0.257882795578837
1103	2	-0.2108530198494094
1103	3	-0.2538453388725799
1103	4	-0.006042961352378029
1103	5	0.083243714923384
1103	6	-0.20780639695136216
1103	7	-0.37817878727109644
1103	8	-0.10367569108392871
1103	9	0.09989916981907498
1103	10-11	0.01871872986205858
