"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000004667.18",66.0177212463577,1.13735150568094,0.239595069293397,32.5991183520136,8.34048666633352e-08,0.00278705702442201
"ENSMUSG00000029328.15",108.047153893738,0.756666366399008,0.171027846812752,28.5268084071351,6.38972637967689e-07,0.00719473810414358
"ENSMUSG00000037902.18",80.0895342940879,-1.08574038436899,0.294036130945166,28.5051663130325,6.45924536522347e-07,0.00719473810414358
"ENSMUSG00000025270.13",178.913315883319,0.929269844781324,0.804308314959152,25.7404148472115,2.57359340494184e-06,0.0179167437846472
"ENSMUSG00000039585.15",23.4057787052613,-1.18947905657657,0.413060929767757,25.6587435802705,2.68086302738916e-06,0.0179167437846472
"ENSMUSG00000056656.6",6.51956677477923,3.38482241824628,1.5076254080021,23.9877191640897,6.18205645557683e-06,0.0344299330865926
"ENSMUSG00000027073.5",25.6892101309184,-2.98576086784897,1.14493426318764,23.0818082644421,9.7240911073962e-06,0.0386608983604298
"ENSMUSG00000028798.16",81.1539562240076,0.881515746332011,0.238991817792232,23.4132685786269,8.238977683194e-06,0.0386608983604298
"ENSMUSG00000029922.15",173.975409216069,0.375306497856315,0.560934898030541,22.9449841936938,1.04126192615474e-05,0.0386608983604298
"ENSMUSG00000028461.12",31.3914923512574,0.761092071992769,0.269387428480916,22.4752748751663,1.31690992637267e-05,0.0400053291815173
"ENSMUSG00000038871.5",82.8723544965355,0.388026494405346,0.669813765355897,22.6019274106214,1.23610061526629e-05,0.0400053291815173
"ENSMUSG00000069919.7",507.433459183803,0.880559015728724,0.763525537066496,21.8393358044765,1.80987460293615e-05,0.0503989747764288
"ENSMUSG00000006574.15",172.473451258012,2.81615354057934,1.00491212955939,21.5282815047989,2.11442881579531e-05,0.0543505794681663
"ENSMUSG00000027133.3",58.4552139505852,0.894179770508469,0.231927176595118,20.3543459986154,3.80285638894407e-05,0.0779309188909201
"ENSMUSG00000027502.11",43.8430176403327,0.840244028678098,0.21692127223593,20.328507121972,3.85230589965184e-05,0.0779309188909201
"ENSMUSG00000058056.16",37.1492209019446,-1.30074906022087,0.300567636767355,20.543571861888,3.45955349836202e-05,0.0779309188909201
"ENSMUSG00000061046.9",18.5613645701114,1.18383962317777,0.35290504240024,20.2710185241646,3.96464454496541e-05,0.0779309188909201
"ENSMUSG00000024620.11",20.3132668555299,-1.78603660206111,0.413361110398714,20.0413123305684,4.44717605202099e-05,0.0782141236601755
"ENSMUSG00000038671.15",30.453832726226,0.56982084971843,0.234932566996532,20.0972058601494,4.32461247362564e-05,0.0782141236601755
"ENSMUSG00000014361.5",20.4634185809814,-1.45695975808331,0.458452155726566,19.9262829272011,4.71045262138437e-05,0.07870224239809
"ENSMUSG00000030057.15",186.664453236855,0.459164407967526,0.16088243407394,19.6941015097453,5.29029870419566e-05,0.0841812483330487
"ENSMUSG00000027935.14",5.83135911204406,-2.86839099050204,0.741389414488023,19.4972273727242,5.83755344613626e-05,0.0886671299800406
"ENSMUSG00000024511.15",5.56890253112113,-0.923964058886766,0.65595626088472,19.3807359209663,6.18766320731704e-05,0.0898986755372635
"ENSMUSG00000032040.15",43.6693899271626,1.23969015829165,0.361730518075164,19.1394315875756,6.98112215596226e-05,0.0918923030661015
"ENSMUSG00000034449.7",20.0587761680071,-0.586257246110158,1.08938273912675,19.1238477552479,7.03573095181776e-05,0.0918923030661015
"ENSMUSG00000073418.4",90.9799165232775,-1.36675531571233,0.316580731131632,19.0916631492896,7.14986796659875e-05,0.0918923030661015
"ENSMUSG00000062007.13",14.6857462224921,1.53790269322635,0.472575488097954,18.9583908615035,7.64254019534241e-05,0.0945863419139118
"ENSMUSG00000026112.7",53.4418196943215,1.02761248400187,0.26962644931127,18.86432334901,8.0105849867338e-05,0.0956006099702488
"ENSMUSG00000015575.14",109.355324981181,0.891098703948851,0.246321197156343,18.6700705862895,8.82766174780909e-05,0.0974299310272831
"ENSMUSG00000033047.5",76.6326485190178,0.96683186545861,0.245894473881637,18.6228494343155,9.03856793705344e-05,0.0974299310272831
"ENSMUSG00000069917.7",374.493483507853,0.933003377581592,0.738983475355192,18.6247187713681,9.03012381892032e-05,0.0974299310272831
