"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030168.13",235.005294950758,-0.785006575655707,0.161046892504582,24.9034794541273,3.91091292305214e-06,0.0220067070180144
"ENSMUSG00000003949.16",153.153127169067,-0.673910813858354,0.15293217688215,19.5284074151627,5.74725159688741e-05,0.0481619755666405
"ENSMUSG00000005823.9",113.829065170362,0.594616642839967,0.135292467303231,20.5789242331342,3.39893908261128e-05,0.0481619755666405
"ENSMUSG00000032046.15",840.877462630071,0.318593804802953,0.0799600697426064,19.4798361836141,5.88853578372083e-05,0.0481619755666405
"ENSMUSG00000032212.10",331.804897668952,-0.0302055174198059,0.0812747278292223,21.1587126220161,2.54357139369337e-05,0.0481619755666405
"ENSMUSG00000042613.9",428.667258683009,0.268146815419852,0.137017835689332,19.5435051059904,5.70402982551258e-05,0.0481619755666405
"ENSMUSG00000052688.12",77.8562096636226,1.37558429712623,0.313527812114169,19.1639475013272,6.89607020815579e-05,0.0481619755666405
"ENSMUSG00000058070.14",130.082782269363,0.542978627724689,0.185152262910033,19.2045843530255,6.7573668061832e-05,0.0481619755666405
"ENSMUSG00000058589.14",256.072796546578,0.386062239140367,0.108220414632527,18.9425852000359,7.70317718321956e-05,0.0481619755666405
